start,end,today,deviceid,imei,control_estudio,encuesta_id,participacion_control,participacion_estudio,Assigned_Group,Current_Group,tipo_encuesta,tariff_code,num_personas,medidor,sexo,nivel_educacion,store_type,mas_gasta_tiempo,porque_mas_gasta_tiempo,hora_pico_energia,dia_pico_energia_choices,ano_pico_energia_choices,epoca_consumo,bombillas,bombillas_horas,celular,celular_horas,internet,internet_horas,radio,radio_horas,television,television_horas,computadora,computadora_horas,refrigerador,refrigerador_horas,abanico,abanico_horas,aire_acondicionado,aire_acondicionado_horas,microondas,microondas_horas,licuadora,licuadora_horas,equipo,equipo_horas,lavadora,lavadora_horas,secadora,secadora_horas,plancha,plancha_horas,plancha_pelo,plancha_pelo_horas,consumo_abanico,consumo_luces,consumo_television,consumo_celular,consumo_radio,consumo_refrigerador,efficiency_bulb,time_fridge,buy_fridge,efficiency_tv,interest_efficiency,estrategias_pasadas_efficiency,estrategias_pasadas_efficiency_resp1,estrategias_pasadas_efficiency_resp2,estrategias_pasadas_efficiency_resp3,fotos_est_eficiencia_energeticaI,fotos_est_eficiencia_energeticaII,barreras_efficiency,barreras_efficiency_resp1,barreras_efficiency_resp2,barreras_efficiency_resp3,razon_eficiencia_energeticaI,razon_eficiencia_energeticaII,razon_eficiencia_energeticaIII,razon_eficiencia_energeticaI_resp1,razon_eficiencia_energeticaII_resp2,razon_eficiencia_energeticaIII_resp3,financiamiento_eficiencia,financiamiento_eficiencia_tamano,financiamiento_eficiencia_meses,financiamiento_solar,financiamiento_solar_tamano,financiamiento_solar_meses,acceso_a_datos,cuenta_de_ahorros,gasto_electrico,gasto_electrico_cordobas,gasto_tarifa_electrica,gasto_agua,gasto_agua_cordobas,gas_casa,gasto_gas,ingresos_mensuales,gastos_mensuales,porcentaje_electricidad,dificultad_pago,dificil_porque_pago,muy_dificil_porque_pago,especifique_porque_dificil,especifique_porque_mdificil,ahorros_si_no,ahorros_cantidad,gasto_servicios,gasto_cosas_basicas,gastos_otros_no_diversion,gastos_diversion,ahorros_gastos,ahorraria_si,gastaria_si,control_de_consumo,como_contro_de_consumo,como_contro_de_consumo_resp1,como_contro_de_consumo_resp2,cuanto_tiempo_dia_control,cuantos_dias_control,informacion_util,para_que_util_nada,para_que_util_nada_resp,para_que_util_masmenos,para_que_util_masmenos_resp,para_que_util_uil,para_que_util_uil_resp,para_que_util_muyutil,para_que_util_muyutil_resp,uso_informacion_disnorte,uso_informacion_disnorte_resp1,uso_informacion_disnorte_resp2,comparte_papel_info,comparte_papel_info_si,comparte_papel_info_si_resp,type_pago,tiempo_pago,type_pago_quality,porque_facil_pago,porque_relafacil_pago,porque_complicado_pago,porque_muycomplicado_pago,tipo_telefono,telefono_suyo,tel_whatsapp,telefonos,internet_uso,foto_gasto_electrico,foto_recibo,especifique_gasto_electrico,coordenadasIII,X_coordenadasIII_latitude,X_coordenadasIII_longitude,X_coordenadasIII_altitude,X_coordenadasIII_precision,meta.instanceID,X_id,X_uuid,X_submission_time,X_tags,X_notes,X_version,X_duration,X_submitted_by,focos_eficiencia_ahorro,focos_eficiencia_cuanto,ventana_eficiencia_ahorro,ventana_eficiencia_cuanto,botella_eficiencia_ahorro,botella_eficiencia_cuanto,cortina_eficiencia_ahorro,cortina_eficiencia_cuanto,refri_eficiencia_ahorro,refri_eficiencia_cuanto,abanico_eficiencia_ahorro,abanico_eficiencia_cuanto,tv_eficiencia_ahorro,tv_eficiencia_cuanto,survey_time
2017-06-08T10:44:58.000-06:00,2017-06-08T11:58:56.000-06:00,6/8/17,enketo.ona.io:Utyokm5b6H56Zg9b,enketo.ona.io:Utyokm5b6H56Zg9b,estudio,98,,si,treatment_luzero_NO_SMS,treatment_luzero_NO_SMS,micro_empresa,t0,7,si,hombre,universidad,pulperia,manana,Por el frizer,NA,miercoles,diciembre,verano,5,4,7,3,1,3,1,12,2,2,1,1,1,6,4,8,NA,,NA,,2,30 minutos,,,NA,,NA,,1,0.1,1,30 minutos,30,10,5,10,5,40,fluorescentes,NA,A un semanero,lcd,mas_o_menos,"Apagar los equipos, medir el tiempo de uso",turn_off,measure_time_use,,,,Condiciones econÕÔ_micas para montar un sistema elÕÔë©ctrico donde cambie el cableado para que este sea eficiente,economic_capacity,,,gasto_hogar,,,home_expense,,,NA,NA,NA,NA,NA,NA,NA,NA,86,500,5,210,96,Cocinar,320,30000,10000,10,facil,,,,NA,no,NA,600,100,2000,2000,gastaria,,NA,si,Archiva los recibos de luz sacan relaciÕÔ_n si subiÕÔ_ o bajo el consumo,compare_consumption,,NA,1,util,,,,,Porque ves tu consumo real,see_real_consumption,,,Para ver cuÕÔÕÅnto consumo,see_consumption,NA,no,,,persona_empresa,NA,facil,Porque le queda cerca donde lo paga,,,,smart_phone,88803786,telefono,,si,no,,96,12.146886 -86.235618 69.53436279296875 10,12.146886,-86.235618,69.53436279,10,uuid:4a3e644c-120d-4c18-92b3-7570bb992c42,16530913,4a3e644c-120d-4c18-92b3-7570bb992c42,6/8/17 18:01,NA,NA,2.02E+11,4438,NA,poco,35,mucho,300,poco,10,mucho,100,mucho,3000,mucho,500,mucho,2000,baseline
2017-06-08T11:48:42.000-05:00,2017-06-08T15:48:46.000-05:00,6/8/17,enketo.ona.io:4wj1UZdjYd9nJCom,enketo.ona.io:4wj1UZdjYd9nJCom,control,353,si,,No,Control,casa,tjubilados,2,si,hombre,universidad,,noche,EstÕÔÕÅn encendidas las luces,8,,diciembre,invierno,5,4,1,1.5,1,24,1,No se usa,1,3,NA,,1,24,1,No se usa,1,No se usa,1,No se usa,1,2 veces a la semana 20 minutos cada vez,,,1,2 veces a la semana 1 hora cada vez,NA,,1,No se usa,,,NA,25,30,5,NA,10,fluorescentes,60,El gallo mÕÔÕÅs gallo,viejo,me_interesa,"Usar bujÕÔ_as ahorrativas, apagar lo que no se ocupa y en el hogar hay un sentido de ahorro",efficient_bulbs,turn_off,,,,"Mayor conocimiento para entender mejor, capacidad econÕÔ_mica y el asunto cultural de la disciplina",no_knowledge,economic_capacity,no_discipline,gasto_hogar,reducir_ambiente,reducir_co2,home_expense,reduce_environment,reduce_co2,NA,NA,NA,NA,NA,NA,NA,NA,98,180,3,4500,120,Para cocinar,160,11000,8000,15,relativamente_facil,,,,NA,si,1500,1900,6000,NA,NA,ahorraria,Para hacer inversiÕÔ_n en algÕÔë_n negocio,NA,no,,,,NA,NA,mas_o_menos,,,"Para organizarme de como voy ahorrar, ver el consumo en kwh",see_consumption,,,,,Para tomar medidas de ahorro,saving_measures,NA,si,"Si me consultan, les aconsejo para ahorrar",talk_about_saving_tips,persona_empresa,30,facil,Lo tenemos cerca,,,,smart_phone,,,,,si,http://classic.ona.io/api/v1/files/4550642?filename=niuera/attachments/1496954905618-1736898496-15_48_40.jpg,,12.148998 -86.236623 73.9000015258789 17,12.148998,-86.236623,73.90000153,17,uuid:289af5ad-4007-4cd2-9c79-98db5cb902a1,16536259,289af5ad-4007-4cd2-9c79-98db5cb902a1,6/8/17 21:44,NA,NA,2.02E+11,14404,NA,mas o menos,70,mas o menos,250,mas o menos,90,mas o menos,300,mas o menos,10000,poco,400,poco,1300,baseline
2017-06-08T10:40:58.000-06:00,2017-06-08T12:12:02.000-06:00,6/8/17,enketo.ona.io:Oc95u07WcbeqBDiF,enketo.ona.io:Oc95u07WcbeqBDiF,estudio,283,si,,treatment_SMS,treatment_SMS,casa,t0,5,si,mujer,ciclo_diversificado,,noche,todos en la casa luces encendidas tv abanicos,9,domingo,diciembre,igual,tres,5 horas diarias,5,6 horas diarias,,,NA,,3,7 horas al dÕÔ_a,1,pocas veces al mes,1,siempre,3,10,NA,,NA,,1,3 veces al mes,,,NA,,NA,,1,no se usa,,,15,10,20,15,NA,40,led,24,gallo mÕÔÕÅs gallo,viejo,no_me_interesa,"usar menos los abanicos, no se plancha y optimizar el uso del refrigerador",less_fans,no_ironing,optimize_fridge_use,mucho,"4, 20, 20, 15, 600, 25","el dinero, falta de conocimiento, voluntad de los demÕÔÕÅs habitantes de la casa",economic_capacity,no_knowledge,no_will,independencia_energetica,gasto_hogar,reducir_ambiente,enery_independence,home_expense,reduce_environment,NA,NA,NA,NA,NA,NA,NA,NA,100,1500,10,1500,500,cocinar,270,15000,13000,16,dificil,caro,,,NA,no,NA,2500,10000,1000,900,ahorraria,"invertir en su casa, salud",NA,no,,,,NA,NA,no_me_sirve,no sale claro cada cosa lo hacen por conveniencia propia la empresa,isnt_clear,,,,,,,sÕÔ_lo para pagar porque nos guiamos con la cantidad de dinero que aparece,pay,NA,si,"comparto el monto total con familiares para que ayuden en el pago, les muestro el recibo",talk_about_consumption,persona_empresa,NA,facil,porque me queda cerca y es sencillo,,,,smart_phone,87031820,telefono,"58534923, 85488793",,si,http://classic.ona.io/api/v1/files/4550654?filename=niuera/attachments/1496944348643-1775994780-11_52_43.jpg,,12.148065 -86.236511 85 9,12.148065,-86.236511,85,9,uuid:ac258788-e2f5-45fb-95c4-efd9758c939a,16536640,ac258788-e2f5-45fb-95c4-efd9758c939a,6/8/17 22:12,NA,NA,2.02E+11,5464,NA,mucho,120,mas o menos,450,mucho,340,mas o menos,250,mucho,16000,mucho,650,mas o menos,9500,baseline
2017-06-08T13:59:03.000-06:00,2017-06-08T13:59:48.000-06:00,6/8/17,enketo.ona.io:Oc95u07WcbeqBDiF,enketo.ona.io:Oc95u07WcbeqBDiF,control,321,no,,No,No,micro_empresa,,NA,,,,,,,NA,,,,,,,,,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,,NA,NA,NA,NA,NA,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,NA,,NA,NA,NA,NA,NA,,,NA,,,,,NA,NA,,,,,,,,,,,,NA,,,,,NA,,,,,,,,,,,,,,12.148761 -86.2364 77 12,12.148761,-86.2364,77,12,uuid:42458968-90ff-4484-b7e6-71c5672a68bf,16536644,42458968-90ff-4484-b7e6-71c5672a68bf,6/8/17 22:12,NA,NA,2.02E+11,45,NA,,,,,,,,,,,,,,,baseline
2017-06-08T13:59:49.000-06:00,2017-06-08T14:59:16.000-06:00,6/8/17,enketo.ona.io:Oc95u07WcbeqBDiF,enketo.ona.io:Oc95u07WcbeqBDiF,estudio,259,,si,treatment_PAPER,treatment_PAPER,micro_empresa,t1,10,si,hombre,universidad,other,tarde,por los abanicos y el aire condicionado ya que el calor aumenta,2,viernes,abril,verano,3 bombillas y 16 Candela,5,10,6,1,6,NA,,NA,,10,6,,,4,5,2,4,NA,,NA,,impresora,5,NA,,NA,,NA,,,,5,20,NA,2,NA,,led,NA,,,no_me_interesa,"apagar las luces que no se estÕÔÕÅn ocupando, cambiar bombilla amarilla por la Blanca, que tenga menos voltaje",efficient_bulbs,less_lights,,mucho,"25, 0, 0, 0, 1100","la cultura de ahorro no hay en el paÕÔ_s, los recursos econÕÔ_micos son limitados, el tiempo varÕÔ_a que pasamos en la organizaciÕÔ_n",no_saving_culture,economic_capacity,no_time,gasto_hogar,independencia_energetica,reducir_ambiente,home_expense,energy_independence,reduce_environment,NA,NA,NA,NA,NA,NA,NA,NA,1000,3000,50,NA,250,,NA,NA,700000,1,facil,,,,NA,no,NA,3000,15000,25000,NA,gastaria,,NA,no,,,,NA,NA,no_me_sirve,solo sale el precio y cantidad pero no sale en que periodo o los kwz,incomplete_information,,,,,,,sÕÔ_lo para pagar,pay,NA,no,,,persona_banco,180,muy_complicado,,,,se paga en cheque,smart_phone,84654011,,,no,no,,2300,12.148562 -86.236557 86 22,12.148562,-86.236557,86,22,uuid:989ed50c-188d-4a2f-ab43-e6d47ffeffc6,16536645,989ed50c-188d-4a2f-ab43-e6d47ffeffc6,6/8/17 22:12,NA,NA,2.02E+11,3567,NA,,,mucho,80,mas o menos,500,poco,100,mas o menos,150,mucho,2500,mucho,1000,baseline
2017-06-08T13:56:55.000-06:00,2017-06-08T14:53:51.000-06:00,6/8/17,enketo.ona.io:Utyokm5b6H56Zg9b,enketo.ona.io:Utyokm5b6H56Zg9b,estudio,55,,si,treatment_luzero_NO_SMS,treatment_luzero_NO_SMS,casa,tjubilados,8,si,hombre,universidad,,noche,Por todos vienen del trabajo,8,sabado,diciembre,verano,25,4 horas,8,2,1,24,1,No se ocupa,7,2,3,13,2,24,8,9,2,4,2,0.41,2,0.05,,,2,4,1,0.5,3,3,2,1,33,33,13,2,NA,22,halogenas,2,Siman,plasma,estoy_muy_interesado,"Panel solar, cambio de bujillas, apagar bujillas cuando no se estÕÔÕÅn ocupando",implement_pv,efficient_bulbs,less_lights,,,"Falta de informaciÕÔ_n, falta de presupuesto para componer para componer solar",no_information,economic_capacity,,gasto_hogar,gasto_hogar,,home_expense,,,NA,NA,NA,NA,NA,NA,NA,NA,413,2572,6,3616,686,Cocinar,500,70000,7000,3000,dificil,demasiadas_cosas,,,NA,si,4000,3600,7000,15000,9000,ahorraria,Viajar,NA,no,,,,NA,NA,util,,,,,Para ver si no te estÕÔÕÅn robando,,,,Para hacer comparacion,make_comparison,NA,no,,,telefono_smart,NA,facil,Te ahorras tiempo,,,,smart_phone,77549811,telefono,,si,si,http://classic.ona.io/api/v1/files/4555641?filename=niuera/attachments/image-14_50_9.jpg,,12.147417 -86.235788 49.4332275390625 4844.721404157351,12.147417,-86.235788,49.43322754,4844.721404,uuid:ee859e9a-96af-499e-be05-4157fd354adb,16562683,ee859e9a-96af-499e-be05-4157fd354adb,6/9/17 15:42,NA,NA,2.02E+11,3416,NA,mas o menos,80,mas o menos,1000,poco,50,poco,no me interesa,mas o menos,20000,poco,1500,mucho,21000,baseline
2017-06-09T09:42:07.000-06:00,2017-06-09T10:09:46.000-06:00,6/9/17,enketo.ona.io:Utyokm5b6H56Zg9b,enketo.ona.io:Utyokm5b6H56Zg9b,control,28,si,,No,Control,casa,t0,12,si,hombre,ciclo_diversificado,,noche,Por los abanicos,7,lunes,abril,igual,5,2horas,4,Una hora,,,2,12,2,3,NA,,,,4,8,NA,,NA,,1,1,,,1,2,NA,,2,0.5,,,30,30,20,10,10,,led,NA,,viejo,no_me_interesa,"Quitar lA refrigerado y el microondas, apagar las bujillas cuando no se estÕÔÕÅn ocupando, cambiar alambrado",less_lights,remove_appliances,fix_electrical_system,,,"AlteraciÕÔ_n de medidores, faltase informacion",problem_with_meters,no_information,,independencia_energetica,gasto_hogar,,energy_independence,home_expense,,NA,NA,NA,NA,NA,NA,NA,NA,60,1800,100,7,2800,Cocinar,250,8000,6000,50,dificil,caro,,,NA,si,2000,4000,2000,1000,1000,ahorraria,Ir recogiendo para la vejez,NA,si,Miro en el medidor cuanto consumo,check_meter,,NA,NA,no_me_sirve,No promueve nada,,,,,,,,Para pagarle,pay,NA,si,Con la familia cuanto pagan,talk_about_payment,persona_banco,NA,facil,No ocupo mucho tiempo,,,,smart_phone,81941778,whatsapp,,,si,http://classic.ona.io/api/v1/files/4555864?filename=niuera/attachments/image-10_7_45.jpg,,12.147596 -86.23563 81.88770294189453 65,12.147596,-86.23563,81.88770294,65,uuid:cbd067f0-9deb-4fbe-9947-7e931709d409,16563830,cbd067f0-9deb-4fbe-9947-7e931709d409,6/9/17 16:09,NA,NA,2.02E+11,1659,NA,poco,30,poco,200,poco,no pagaria,poco,no me interesa,poco,no me interesa,poco,300,poco,2000,baseline
2017-06-08T13:54:53.000-06:00,2017-06-08T14:38:05.000-06:00,6/8/17,enketo.ona.io:JD1QgrLbueh3hA3w,enketo.ona.io:JD1QgrLbueh3hA3w,control,72,si,,No,Control,casa,t0,11,no,mujer,primaria,,manana,Porque en ese momento se ve television,8,sabado,diciembre,verano,13,11,5,Media hora,,,NA,,3,3.5,NA,,1,24,3,0.5,NA,,NA,,1,0.03,,,NA,,NA,,NA,,,,50,20,30,1,NA,30,incandescentes,120,Gallo mas gallo,plasma,me_interesa,"Apagar la refrigeradora, apagar las luces si no las ocupan, desconectan los aparatos",turn_off,,,Mas o menos,,,,,,gasto_hogar,reducir_ambiente,reducir_co2,home_expense,reduce_environment,reduce_co2,NA,NA,NA,NA,NA,NA,NA,NA,120,1800,50,200,850,Para cocinar,260,10000,8000,80,muy_dificil,,me_gustaria_otros,,NA,si,1000,2500,3500,3000,1500,ahorraria,Para gastarlos cuando sea necesario,NA,no,,,,NA,NA,util,,,,,Porque miran el gasto de energia,see_consumption,,,Para tratar de ahorrar en el consumo de luz,saving_measures,NA,si,Con los familiares los kwh,talk_about_consumption,persona_empresa,30,facil,Porque esta vacio y no se tardan en hacer el pago,,,,chiclero,,,,,si,http://classic.ona.io/api/v1/files/4556215?filename=niuera/attachments/1496954047401-1903837481-14_34_26.jpg,,12.147431 -86.235522 40.040000915527344 96,12.147431,-86.235522,40.04000092,96,uuid:c56f2f47-2969-4184-a0b8-e8759907148e,16565044,c56f2f47-2969-4184-a0b8-e8759907148e,6/9/17 16:48,NA,NA,2.02E+11,2592,NA,mucho,60,mas o menos,300,mas o menos,100,poco,150,mucho,10000,mas o menos,250,mas o menos,2500,baseline
2017-06-09T10:32:35.000-06:00,2017-06-09T10:52:27.000-06:00,6/9/17,enketo.ona.io:Utyokm5b6H56Zg9b,enketo.ona.io:Utyokm5b6H56Zg9b,control,85,si,,No,Control,casa,tjubilados,8,si,mujer,primaria,,medio_dia,Por quÕÔë© estÕÔÕÅn encendidos todos los teles,10,domingo,diciembre,igual,4,2,Una hora,Una hora,,,NA,,1,8 horas,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,1,0.2,,,NA,40,50,10,NA,,incandescentes,NA,,viejo,no_me_interesa,"Apagando todo, estar pendiente que los niÕÔë±os no enciendan nada",turn_off,control_children,,,,"Accesibilidad, tiempo",accessibility,no_time,,gasto_hogar,gasto_hogar,,home_expense,,,NA,NA,NA,NA,NA,NA,NA,NA,200,80,10,200,500,Cocinar,250,7000,4600,NA,muy_dificil,,caro,,NA,no,NA,600,2000,2000,NA,ahorraria,Viaja,NA,no,,,,NA,NA,muy_util,,,,,,,Para saber cuÕÔÕÅnto consumo,see_consumption,Para pagar la luz,pay,NA,no,,,persona_empresa,NA,complicado,,,Por ya estoy anciana,,chiclero,82782287,telefono,,,no,,Se los lleva su herman,12.147894 -86.236448 85.33111572265625 30,12.147894,-86.236448,85.33111572,30,uuid:cca57cb3-1bb8-43b5-9cdb-5201b0a0e62d,16565172,cca57cb3-1bb8-43b5-9cdb-5201b0a0e62d,6/9/17 16:52,NA,NA,2.02E+11,1192,NA,poco,30,poco,100,poco,no pagaria,poco,120,mas o menos,5000,poco,150,mas o menos,1000,baseline
2017-06-09T10:52:27.000-06:00,2017-06-09T11:48:50.000-06:00,6/9/17,enketo.ona.io:Utyokm5b6H56Zg9b,enketo.ona.io:Utyokm5b6H56Zg9b,control,6,si,,No,Control,casa,tjubilados,8,si,mujer,universidad,,tarde,Por los abanicos que se encienden,12,domingo,diciembre,verano,5,8,5,8 horas,,,3,1,4,12,1,6,,,4,8,NA,,NA,,NA,,,,NA,,NA,,1,0.402,,,40,5,25,15,15,,led,NA,,viejo,me_interesa,Apagar las luces los abanicos los televisores,turn_off,,,,,"Falta de dinero para cambiar el cableado, falta de dinero para comprar luces ahorrativo",economic_capacity,,,gasto_hogar,gasto_hogar,,home_expense,,,NA,NA,NA,NA,NA,NA,NA,NA,181,1200,10,200,384,Cocinar,260,16000,6000,50,dificil,caro,,,NA,si,200,2000,2000,NA,NA,ahorraria,Comprar algo que necesite en el momento,NA,no,,,,NA,NA,mas_o_menos,,,Porque son ineficientes los de disnorte disur,inefficient_information,,,,,Para comparar,make_comparison,NA,si,Con unos tÕÔ_os el porecentaje para ver cuÕÔÕÅnto es la diferencia,compare_consumption,persona_banco,NA,facil,Porque no te dilatas mucho tiempo,,,,smart_phone,88429615,telefono,,,si,http://classic.ona.io/api/v1/files/4556490?filename=niuera/attachments/image-11_45_46.jpg,,12.145719 -86.238303 64.635986328125 1414,12.145719,-86.238303,64.63598633,1414,uuid:7a6c7831-6ff7-42b4-9a7c-0a384e4ba46a,16567410,7a6c7831-6ff7-42b4-9a7c-0a384e4ba46a,6/9/17 17:49,NA,NA,2.02E+11,3383,NA,mucho,50,mucho,300,poco,150,mas o menos,20,mucho,7000,mas o menos,300,mas o menos,5000,baseline
