encuesta_id,Current_Group,active,hostname,luzero_num,has_wifi,tariff_code,num_medidor,llamada_NIS,limit_day_of_month,limit_override,imposed_limit,new_limit
700,treatment_luzero_SMS,FALSE,b8:27:eb:1d:16:d4,77,TRUE,T-0,,,30,FALSE,145,145
701,treatment_luzero_SMS,FALSE,b8:27:eb:ea:fe:4e,76,TRUE,T-0,,,30,FALSE,145,145
702,treatment_luzero_SMS,FALSE,b8:27:eb:ca:2b:08,79,TRUE,T-1,,,30,FALSE,145,145
703,treatment_luzero_SMS,FALSE,b8:27:eb:5c:cc:d1,78,TRUE,T-1,,,30,FALSE,1500,145
950,treatment_luzero_NO_SMS,FALSE,b8:27:eb:75:80:22,8,TRUE,T-0,2012296,ok,10,FALSE,120,120
55,treatment_luzero_NO_SMS,FALSE,b8:27:eb:43:b8:9b,2,TRUE,T-J,2053743,ok,13,FALSE,390,390
326,treatment_luzero_SMS,FALSE,b8:27:eb:79:e0:a1,3,FALSO,T-0,2053482,ok,13,FALSE,130,130
146,treatment_luzero_NO_SMS,FALSE,b8:27:eb:1f:5b:cc,4,FALSO,T-1,2054161,ok,13,FALSE,170,170
348,treatment_luzero_NO_SMS,FALSE,b8:27:eb:65:0d:0c,5,FALSO,T-J,2040488,ok,11,FALSE,360,360
260,treatment_luzero_NO_SMS,FALSE,b8:27:eb:3d:64:91,6,FALSO,T-0,2053432,ok,13,FALSE,100,100
272,treatment_luzero_SMS,FALSE,b8:27:eb:a1:d7:78,7,FALSO,T-0,2053649,ok,13,FALSE,110,110
65,treatment_luzero_NO_SMS,FALSE,b8:27:eb:ce:bc:9f,1,TRUE,T-J,2053766,ok,14,FALSE,250,250
2,treatment_luzero_NO_SMS,FALSE,b8:27:eb:4a:75:0e,9,TRUE,T-0,2733525,ok,8,FALSE,130,130
1,treatment_luzero_NO_SMS,FALSE,b8:27:eb:39:98:a4,10,TRUE,T-0,2030278,ok,8,FALSE,160,150
32,treatment_luzero_SMS,FALSE,b8:27:eb:8a:a5:b9,11,FALSO,T-0,2000612,ok,12,FALSE,120,120
225,treatment_luzero_SMS,FALSE,b8:27:eb:1d:b2:6d,12,FALSO,T-0,2001694,ok,12,FALSE,530,510
228,treatment_luzero_SMS,FALSE,b8:27:eb:10:ba:1f,13,FALSO,T-1,2001444,ok,12,FALSE,330,330
2053,treatment_luzero_NO_SMS,FALSE,b8:27:eb:1a:9e:a6,14,TRUE,T-0,2001457,ok,12,FALSE,120,120
390,treatment_luzero_SMS,FALSE,b8:27:eb:ea:ce:d1,15,TRUE,T-0,2001011,ok,12,FALSE,130,130
59,treatment_luzero_NO_SMS,FALSE,b8:27:eb:4e:9d:75,16,FALSO,T-0,2053755,ok,13,FALSE,180,170
328,treatment_luzero_NO_SMS,FALSE,b8:27:eb:c3:e8:39,17,FALSO,T-0,2000714,ok,12,FALSE,150,150
309,treatment_luzero_NO_SMS,FALSE,b8:27:eb:e2:11:69,18,FALSO,T-0,2001453,ok,12,FALSE,130,130
234,treatment_luzero_SMS,FALSE,b8:27:eb:b6:38:db,19,FALSO,T-0,2001685,ok,12,FALSE,390,390
51,treatment_luzero_NO_SMS,FALSE,b8:27:eb:ba:a1:d9,20,FALSO,T-J,2000624,ok,12,FALSE,140,140
49,treatment_luzero_SMS,FALSE,b8:27:eb:59:bb:2f,21,FALSO,T-0,2001405,ok,12,FALSE,120,120
238,treatment_luzero_SMS,FALSE,b8:27:eb:d6:b4:1c,22,TRUE,T-J,2001006,ok,12,FALSE,180,180
239,treatment_luzero_SMS,FALSE,b8:27:eb:68:18:09,23,TRUE,T-0,2641967,ok,12,FALSE,340,340
920,treatment_luzero_SMS,FALSE,b8:27:eb:a9:27:30,24,FALSO,T-0,2261883,ok,7,FALSE,80,130
256,treatment_luzero_NO_SMS,FALSE,b8:27:eb:ea:0f:e7,25,FALSO,T-J,2110039,ok,5,FALSE,240,250
244,treatment_luzero_NO_SMS,FALSE,b8:27:eb:89:76:84,26,TRUE,T-0,2923490,ok,5,FALSE,280,280
