,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,29.12,138 kWh,757.41,12-05-2017,12-06-2017,4.40,-16.23,-8.54,-399.63,T-0,443.95
1,75.45,29.87,148 kWh,819.86,11-04-2017,12-05-2017,4.69,-14.50,-9.37,-432.21,T-0,473.79
2,75.13,29.75,133 kWh,707.39,13-03-2017,11-04-2017,4.16,-14.44,-9.33,-372.91,T-0,419.75
3,74.83,29.63,132 kWh,697.38,10-02-2017,13-03-2017,4.11,-14.38,-9.30,-367.63,T-0,414.64
4,74.52,29.50,117 kWh,586.26,13-01-2017,10-02-2017,3.58,-14.32,-9.26,-309.06,T-0,361.22
5,74.24,29.39,126 kWh,648.80,14-12-2016,13-01-2017,3.87,-14.26,-9.22,-342.03,T-0,390.79
6,73.93,85.29,151 kWh,824.68,11-11-2016,14-12-2016,5.26,-14.21,-9.19,-434.96,T-0,530.80
7,73.63,29.15,134 kWh,700.37,12-10-2016,11-11-2016,4.11,-14.15,-9.15,-369.21,T-0,414.75
8,73.34,29.03,144 kWh,768.53,10-09-2016,12-10-2016,4.43,-14.09,-9.11,-405.14,T-0,446.99
9,73.04,28.91,127 kWh,645.12,12-08-2016,10-09-2016,3.84,-14.03,-9.07,-340.09,T-0,387.72
10,72.75,28.80,136 kWh,710.06,12-07-2016,12-08-2016,4.14,-13.98,-9.04,-374.39,T-0,418.34
11,73.20,28.68,136 kWh,710.45,11-06-2016,12-07-2016,4.14,-14.68,-9.00,-374.64,T-0,418.15
