,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,86.25,258 kWh,"1,645.53",08-09-2017,10-10-2017,13.76,-434.46,T-J,"1,389.79"
1,78.39,85.90,250 kWh,"1,581.30",09-08-2017,08-09-2017,13.13,-432.73,T-J,"1,325.99"
2,78.07,85.55,250 kWh,"1,575.10",10-07-2017,09-08-2017,13.08,-430.95,T-J,"1,320.85"
3,77.75,85.20,253 kWh,"1,589.97",09-06-2017,10-07-2017,13.24,-429.13,T-J,"1,337.03"
4,77.42,84.85,251 kWh,"1,545.54",10-05-2017,09-06-2017,12.90,-418.17,T-J,"1,302.54"
5,75.45,87.02,281 kWh,"1,735.50",08-04-2017,10-05-2017,14.82,-416.45,T-J,"1,496.34"
6,75.13,86.66,231 kWh,"1,385.58",10-03-2017,08-04-2017,11.33,-414.78,T-J,"1,143.92"
7,74.83,86.32,212 kWh,"1,224.90",08-02-2017,10-03-2017,9.73,-413.09,T-J,982.69
8,74.52,85.96,174 kWh,961.08,11-01-2017,08-02-2017,7.10,-411.78,T-J,716.88
9,74.24,85.64,193 kWh,"1,086.26",11-12-2016,11-01-2017,8.36,-410.10,T-J,844.40
10,73.93,85.29,196 kWh,"1,101.97",09-11-2016,11-12-2016,8.53,-408.34,T-J,861.38
11,73.63,84.93,195 kWh,"1,090.55",10-10-2016,09-11-2016,8.43,-406.59,T-J,850.95
