,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,,29.72,113 kWh,590.83,10-10-2017,09-11-2017,,3.62,-16.57,-8.72,-312.07,T-0,365.84
1,78.71,1.90,29.60,132 kWh,733.20,08-09-2017,10-10-2017,,4.29,-16.50,-8.68,-387.27,T-0,435.25
2,78.39,,29.48,138 kWh,775.55,09-08-2017,08-09-2017,,4.49,-16.43,-8.65,-409.62,T-0,453.21
3,78.07,,29.36,140 kWh,787.62,10-07-2017,09-08-2017,,4.54,-16.37,-8.61,-416.01,T-0,458.60
4,77.75,,29.24,147 kWh,837.10,09-06-2017,10-07-2017,,4.77,-16.30,-8.58,-442.13,T-0,481.85
5,77.42,,29.12,148 kWh,829.20,10-05-2017,09-06-2017,,4.74,-16.23,-8.54,-437.41,T-0,478.30
6,75.45,,29.87,141 kWh,768.49,08-04-2017,10-05-2017,,4.45,-14.50,-9.37,-405.13,T-0,449.26
7,75.13,,29.75,142 kWh,772.47,10-03-2017,08-04-2017,,4.46,-14.44,-9.33,-407.22,T-0,450.82
8,74.83,,29.63,145 kWh,791.27,08-02-2017,10-03-2017,,4.55,-14.38,-9.30,-417.13,T-0,459.47
9,74.52,,29.50,133 kWh,701.49,11-01-2017,08-02-2017,,4.12,-14.32,-9.26,-369.80,T-0,416.25
10,74.24,5.55,85.64,215 kWh,"1,261.20",11-12-2016,11-01-2017,,14.21,,,,T-0,"1,440.84"
11,73.93,7.05,85.29,334 kWh,"2,058.56",09-11-2016,11-12-2016,144.10,22.18,,,,T-0,"2,391.11"
