,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,77.75,,85.20,230 kWh,"1,428.12",15-06-2017,15-07-2017,15.91,T-0,"1,606.98"
1,77.42,0.63,84.85,235 kWh,"1,443.17",16-05-2017,15-06-2017,16.05,T-0,"1,622.12"
2,75.45,,87.02,199 kWh,"1,172.56",16-04-2017,16-05-2017,13.35,T-0,"1,348.38"
3,75.13,,86.66,202 kWh,"1,188.29",16-03-2017,16-04-2017,13.50,T-0,"1,363.58"
4,74.83,0.55,86.32,202 kWh,"1,183.46",13-02-2017,16-03-2017,13.45,T-0,"1,358.61"
5,74.52,2.84,85.96,178 kWh,"1,015.21",16-01-2017,13-02-2017,11.76,T-0,"1,190.29"
6,74.24,3.30,85.64,228 kWh,"1,350.46",17-12-2016,16-01-2017,15.10,T-0,"1,528.74"
7,73.93,2.98,85.29,265 kWh,"1,594.46",14-11-2016,17-12-2016,17.54,T-0,"1,774.20"
8,73.63,4.23,84.93,241 kWh,"1,426.25",14-10-2016,14-11-2016,15.85,T-0,"1,604.89"
9,73.34,,84.60,229 kWh,"1,340.16",13-09-2016,14-10-2016,14.98,T-0,"1,513.08"
10,73.04,,84.25,222 kWh,"1,288.03",15-08-2016,13-09-2016,14.45,T-0,"1,459.77"
11,72.75,,83.91,233 kWh,"1,362.96",14-07-2016,15-08-2016,15.20,T-0,"1,534.82"
