,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.39,85.90,357 kWh,"2,348.07",15-08-2017,13-09-2017,134.07,20.80,-432.73,T-J,"2,234.50"
1,78.07,85.55,428 kWh,"2,844.65",14-07-2017,15-08-2017,168.96,25.77,-430.95,T-J,"2,772.05"
2,202.53,158.47,584 kWh,"4,291.18",14-06-2017,14-07-2017,270.34,42.23,-429.13,T-J,"4,535.62"
3,77.42,84.85,390 kWh,"2,523.34",15-05-2017,14-06-2017,147.36,22.67,-418.17,T-J,"2,437.47"
4,75.45,87.02,370 kWh,"2,349.89",15-04-2017,15-05-2017,135.34,20.96,-416.45,T-J,"2,252.21"
5,75.13,86.66,396 kWh,"2,518.49",15-03-2017,15-04-2017,147.26,22.66,-414.78,T-J,"2,435.42"
6,74.83,86.32,361 kWh,"2,243.01",12-02-2017,15-03-2017,128.10,19.91,-413.06,T-J,"2,139.11"
7,74.52,85.96,291 kWh,"1,757.53",15-01-2017,12-02-2017,,15.06,-411.52,T-J,"1,521.55"
8,74.24,85.64,334 kWh,"2,042.58",16-12-2016,15-01-2017,114.29,17.93,-409.82,T-J,"1,924.86"
9,73.93,85.29,370 kWh,"2,277.30",15-11-2016,16-12-2016,130.84,20.28,-408.12,T-J,"2,179.52"
10,73.63,84.93,446 kWh,"2,778.20",13-10-2016,15-11-2016,166.02,25.30,-406.49,T-J,"2,721.59"
11,73.34,84.60,422 kWh,"2,605.82",12-09-2016,13-10-2016,154.07,23.59,-404.82,T-J,"2,536.60"
