,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía Sustraída:,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,3.18,29.24,,103 kWh,506.22,12-06-2017,12-07-2017,3.21,-16.30,-8.58,-267.36,T-0,327.36
1,77.42,219.55,29.12,,121 kWh,631.33,12-05-2017,12-06-2017,3.80,-16.23,-8.54,-333.10,T-0,603.35
2,75.45,,29.87,,121 kWh,622.66,11-04-2017,12-05-2017,3.76,-14.50,-9.37,-328.25,T-0,379.62
3,75.13,14.28,29.75,,102 kWh,481.90,13-03-2017,11-04-2017,3.09,-14.44,-9.33,-254.04,T-0,326.34
4,19.96,10.17,29.63,,89 kWh,405.27,10-02-2017,13-03-2017,2.28,-3.84,-9.30,-213.65,T-0,240.52
5,19.88,6.38,29.50,,81 kWh,359.94,13-01-2017,10-02-2017,2.07,-3.82,-9.26,-189.73,T-0,214.96
6,11.83,468.03,29.39,,,,13-12-2016,18-01-2017,0.41,,,,T-0,509.66
8,11.83,659.82,29.39,,,,13-12-2016,13-01-2017,0.41,,,,T-0,701.45
10,73.63,,29.15,,104 kWh,486.38,10-10-2016,09-11-2016,3.09,-14.15,-9.15,-256.40,T-0,312.55
11,73.34,,29.03,,127 kWh,647.68,08-09-2016,10-10-2016,3.85,-14.09,-9.11,-341.44,T-0,389.26
12,19.48,82.61,28.91,,98 kWh,443.36,08-08-2016,08-09-2016,2.45,-3.74,-9.07,-233.73,T-0,330.27
