,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.48,140.87,415 kWh,"3,099.01",12-09-2017,13-10-2017,506.97,33.46,T-1,"3,886.79"
1,106.04,140.29,404 kWh,"3,004.52",14-08-2017,12-09-2017,492.50,32.51,T-1,"3,775.86"
2,105.62,139.73,455 kWh,"3,370.36",13-07-2017,14-08-2017,547.78,36.16,T-1,"4,199.65"
3,105.18,139.15,407 kWh,"3,002.19",13-06-2017,13-07-2017,491.85,32.47,T-1,"3,770.84"
4,104.74,138.58,442 kWh,"3,203.88",13-05-2017,13-06-2017,522.25,34.47,T-1,"4,003.92"
5,102.06,142.14,455 kWh,"3,256.70",12-04-2017,13-05-2017,530.39,35.01,T-1,"4,066.30"
6,101.64,141.55,397 kWh,"2,829.97",14-03-2017,12-04-2017,465.58,30.73,T-1,"3,569.47"
7,101.24,140.98,414 kWh,"2,939.59",11-02-2017,14-03-2017,482.04,31.82,T-1,"3,695.67"
8,100.82,140.40,350 kWh,"2,474.88",14-01-2017,11-02-2017,411.49,27.16,T-1,"3,154.75"
9,100.44,139.87,441 kWh,"3,106.87",15-12-2016,14-01-2017,507.10,33.47,T-1,"3,887.75"
10,100.03,139.29,446 kWh,"3,129.00",12-11-2016,15-12-2016,510.30,33.68,T-1,"3,912.30"
11,99.61,138.72,299 kWh,"2,088.75",13-10-2016,12-11-2016,352.55,23.27,T-1,"2,702.90"
