,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía Sustraída:,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,1.27,87.32,,244 kWh,"1,565.41",15-12-2017,15-01-2018,12.92,,,-440.10,,T-J,"1,306.50"
1,79.36,2.76,86.96,,252 kWh,"1,616.88",14-11-2017,15-12-2017,13.45,,,-438.22,,T-J,"1,361.19"
2,79.03,1.87,86.60,,229 kWh,"1,444.17",14-10-2017,14-11-2017,11.73,,,-436.53,,T-J,"1,186.87"
3,78.71,2.39,86.25,,205 kWh,"1,265.93",13-09-2017,14-10-2017,9.96,,,-434.95,,T-J,"1,008.29"
4,78.39,,85.90,,183 kWh,"1,103.38",15-08-2017,13-09-2017,12.68,,,,,T-0,"1,280.35"
5,78.07,0.84,85.55,,208 kWh,"1,277.14",14-07-2017,15-08-2017,14.41,,,,,T-0,"1,456.01"
6,77.75,1.10,85.20,,256 kWh,"1,612.35",14-06-2017,14-07-2017,17.75,,,,,T-0,"1,794.15"
7,77.42,0.32,84.85,,173 kWh,"1,009.13",15-05-2017,14-06-2017,11.71,,,,,T-0,"1,183.43"
8,75.45,0.58,29.87,,111 kWh,549.90,15-04-2017,15-05-2017,3.41,-14.50,-9.37,,-289.90,T-0,345.44
10,75.13,0.95,29.75,,132 kWh,700.44,15-03-2017,15-04-2017,4.12,-14.44,-9.33,,-369.25,T-0,417.37
11,74.83,0.22,29.63,,110 kWh,538.16,12-02-2017,15-03-2017,3.35,-14.38,-9.30,,-283.71,T-0,338.80
12,19.88,,29.50,,93 kWh,425.55,15-01-2017,12-02-2017,2.38,-3.82,-9.26,,-224.33,T-0,239.90
