,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,2.29,29.97,150 kWh,881.72,15-12-2017,15-01-2018,2.92,-16.71,-8.79,-440.86,-232.85,T-J,297.37
1,79.36,2.97,29.85,144 kWh,831.95,14-11-2017,15-12-2017,2.80,-16.64,-8.76,-415.99,-219.70,T-J,285.84
2,79.03,,29.72,148 kWh,859.06,14-10-2017,14-11-2017,2.86,-16.57,-8.72,-429.53,-226.88,T-J,288.97
3,78.71,0.90,86.25,155 kWh,906.74,13-09-2017,14-10-2017,3.71,-16.50,-8.68,-435.37,-240.05,T-J,375.71
4,78.39,2.04,29.48,142 kWh,806.53,15-08-2017,13-09-2017,2.73,-16.43,-8.65,-403.27,-213.00,T-J,277.82
5,78.07,1.73,85.55,158 kWh,920.83,14-07-2017,15-08-2017,3.84,-16.37,-8.61,-431.86,-244.09,T-J,389.09
6,77.75,,29.24,142 kWh,799.99,14-06-2017,14-07-2017,2.71,-16.30,-8.58,-399.99,-211.26,T-J,273.56
7,77.42,2.13,29.12,139 kWh,766.38,15-05-2017,14-06-2017,2.63,-16.23,-8.54,-383.18,-202.20,T-J,267.53
8,75.45,,87.02,155 kWh,869.28,15-04-2017,15-05-2017,6.14,,,-417.39,,T-J,620.50
9,75.13,1.32,29.75,135 kWh,722.25,15-03-2017,15-04-2017,2.52,-14.44,-9.33,-361.12,-190.38,T-J,255.70
10,74.83,1.23,29.63,127 kWh,651.82,12-02-2017,15-03-2017,2.28,-14.38,-9.30,-330.67,-174.33,T-J,231.11
11,74.52,,29.50,108 kWh,504.94,15-01-2017,12-02-2017,1.87,-14.32,-9.26,-260.74,-137.45,T-J,189.06
