,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,,29.72,123 kWh,667.51,12-10-2017,11-11-2017,3.36,-8.72,-352.56,T-0,339.31
1,,29.60,134 kWh,748.68,11-09-2017,12-10-2017,3.74,-8.68,-395.44,T-0,377.90
2,,29.48,130 kWh,715.19,12-08-2017,11-09-2017,3.58,-8.65,-377.74,T-0,361.86
3,0.33,29.36,132 kWh,727.47,12-07-2017,12-08-2017,3.64,-8.61,-384.24,T-0,367.95
4,,29.24,128 kWh,694.38,12-06-2017,12-07-2017,3.48,-8.58,-366.75,T-0,351.77
5,,29.12,133 kWh,720.29,12-05-2017,12-06-2017,3.61,-8.54,-380.04,T-0,364.44
6,,29.87,138 kWh,746.81,11-04-2017,12-05-2017,3.74,-9.37,-393.70,T-0,377.35
7,,29.75,121 kWh,620.11,13-03-2017,11-04-2017,3.14,-9.33,-326.90,T-0,316.77
8,,29.63,121 kWh,617.70,10-02-2017,13-03-2017,3.12,-9.30,-325.63,T-0,315.52
9,,29.50,106 kWh,506.88,13-01-2017,10-02-2017,2.60,-9.26,-267.21,T-0,262.51
10,,29.39,111 kWh,540.97,14-12-2016,13-01-2017,2.76,-9.22,-285.19,T-0,278.71
11,,29.27,127 kWh,653.27,11-11-2016,14-12-2016,3.29,-9.19,-344.39,T-0,332.25
