,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,87.32,152 kWh,895.92,12-12-2017,12-01-2018,3.60,-16.71,-8.79,-440.67,-236.83,T-J,363.52
1,79.36,86.96,152 kWh,892.16,10-11-2017,12-12-2017,3.58,-16.64,-8.76,-438.82,-235.84,T-J,362.00
2,79.03,29.72,133 kWh,743.90,11-10-2017,10-11-2017,2.59,-16.57,-8.72,-371.96,-196.47,T-J,261.52
3,78.71,29.60,146 kWh,839.97,09-09-2017,11-10-2017,2.81,-16.50,-8.68,-419.98,-221.83,T-J,284.10
4,78.39,29.48,145 kWh,828.80,11-08-2017,18-09-2017,2.78,-16.43,-8.65,-414.40,-218.88,T-J,281.09
5,78.07,29.36,147 kWh,840.72,11-07-2017,18-09-2017,2.81,-16.37,-8.61,-420.37,-222.02,T-J,283.59
8,78.39,29.48,147 kWh,843.98,11-08-2017,09-09-2017,5.30,,,-421.99,,T-J,535.16
9,78.07,29.36,145 kWh,825.62,11-07-2017,11-08-2017,2.77,-16.37,-8.61,-412.82,-218.04,T-J,279.98
10,77.75,29.24,137 kWh,761.98,10-06-2017,11-07-2017,2.62,-16.30,-8.58,-380.97,-201.22,T-J,264.52
11,77.42,84.85,151 kWh,851.87,11-05-2017,10-06-2017,5.92,,,-422.40,,T-J,597.66
12,75.45,87.02,154 kWh,861.87,10-04-2017,11-05-2017,3.56,-14.50,-9.37,-417.14,-227.62,T-J,359.27
13,75.13,29.75,143 kWh,779.99,11-03-2017,10-04-2017,2.66,-14.44,-9.33,-390.00,-205.59,T-J,268.17
14,74.83,29.63,135 kWh,705.98,09-02-2017,11-03-2017,2.38,-14.38,-9.30,-359.47,-189.52,T-J,240.15
15,74.52,29.50,119 kWh,581.57,12-01-2017,09-02-2017,2.03,-14.32,-9.26,-300.29,-158.31,T-J,205.44
