,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,29.97,78 kWh,367.51,16-12-2017,15-01-2018,1.95,-8.79,-194.11,T-0,196.53
1,29.85,61 kWh,267.21,14-11-2017,16-12-2017,1.47,-8.76,-141.14,T-0,148.63
2,29.72,67 kWh,300.76,14-10-2017,14-11-2017,1.63,-8.72,-158.86,T-0,164.53
3,29.60,72 kWh,328.36,13-09-2017,14-10-2017,1.76,-8.68,-173.43,T-0,177.61
4,29.48,67 kWh,298.33,15-08-2017,13-09-2017,1.62,-8.65,-157.57,T-0,163.21
5,29.36,77 kWh,354.32,14-07-2017,15-08-2017,1.88,-8.61,-187.15,T-0,189.80
6,29.24,67 kWh,295.90,14-06-2017,14-07-2017,1.60,-8.58,-156.28,T-0,161.88
7,29.12,72 kWh,319.81,15-05-2017,14-06-2017,1.72,-8.54,-168.77,T-0,173.34
8,29.87,74 kWh,325.87,15-04-2017,15-05-2017,1.75,-9.37,-171.79,T-0,176.33
9,29.75,77 kWh,341.02,15-03-2017,15-04-2017,1.82,-9.33,-179.78,T-0,183.48
10,29.63,71 kWh,306.75,12-02-2017,15-03-2017,1.65,-9.30,-161.71,T-0,167.02
11,29.50,63 kWh,261.80,15-01-2017,12-02-2017,1.44,-9.26,-138.02,T-0,145.46
