num_medidor,alumbrado.publico,cargos.varios,comercializacion,csmo_energia,energia_kwh,fecha.factura.ant..,fecha.factura.,iva,regulacion.ine,sub_alum_pub_menor_150kwh,subsidio.comercializacion.menor.150.kwh,subsidio.consumo.menor.150.kwh,subsidio.a.jubilados.con.consumo.menor.150kwh,tarifa.,total,nis,date,date_current_reading,date_previous_reading,encuesta_id,Current_Group,tariff_code,timeline
2000500,75.45,,87.02,228 kWh,1370.41,6/4/17,8/5/17,,15.33,NA,NA,NA,NA,T-0,1548.21,2000500,4/6/17,5/8/17,4/6/17,275,treatment_SMS,T-0,No Experiment
2000500,75.13,,86.66,159 kWh,891.94,8/3/17,6/4/17,,10.54,NA,NA,NA,NA,T-0,"1,064.27",2000500,3/8/17,4/6/17,3/8/17,275,treatment_SMS,T-0,No Experiment
2000500,78.71,6.16,86.25,163 kWh,963.14,6/9/17,7/10/17,,11.28,NA,NA,NA,NA,T-0,"1,145.54",2000500,9/6/17,10/7/17,9/6/17,275,treatment_SMS,T-0,Ongoing Experiment
2000500,78.07,13.09,85.55,196 kWh,"1,190.17",7/7/17,7/8/17,,13.54,NA,NA,NA,NA,T-0,"1,380.42",2000500,7/7/17,8/7/17,7/7/17,275,treatment_SMS,T-0,No Experiment
2000500,74.24,,29.39,140 kWh,748.98,9/12/16,9/1/17,,4.34,-14.26,-9.22,-394.84,NA,T-0,438.63,2000500,12/9/16,1/9/17,12/9/16,275,treatment_SMS,T-0,No Experiment
2000500,78.39,5.73,85.9,189 kWh,"1,144.88",7/8/17,6/9/17,,13.09,NA,NA,NA,NA,T-0,"1,327.99",2000500,8/7/17,9/6/17,8/7/17,275,treatment_SMS,T-0,Ongoing Experiment
2000500,77.75,,85.2,175 kWh,"1,036.41",7/6/17,7/7/17,,11.99,NA,NA,NA,NA,T-0,"1,211.35",2000500,6/7/17,7/7/17,6/7/17,275,treatment_SMS,T-0,No Experiment
2000500,75.13,,29.75,145 kWh,793.98,8/3/17,22-04-2017,,4.57,-14.44,-9.33,-418.56,NA,T-0,461.1,2000500,3/8/17,NA,3/8/17,275,treatment_SMS,T-0,NA
2000500,75.13,,86.66,159 kWh,891.94,8/3/17,6/4/17,,10.54,NA,NA,NA,NA,T-0,"1,064.27",2000500,3/8/17,4/6/17,3/8/17,275,treatment_SMS,T-0,No Experiment
2000500,77.75,,85.2,175 kWh,"1,036.41",7/6/17,7/7/17,,11.99,NA,NA,NA,NA,T-0,"1,211.35",2000500,6/7/17,7/7/17,6/7/17,275,treatment_SMS,T-0,No Experiment
2000500,75.45,,87.02,228 kWh,"1,370.41",6/4/17,8/5/17,,15.33,NA,NA,NA,NA,T-0,"1,548.21",2000500,4/6/17,5/8/17,4/6/17,275,treatment_SMS,T-0,No Experiment
2000500,74.83,,29.63,142 kWh,769.28,6/2/17,8/3/17,,4.45,-14.38,-9.3,-405.54,NA,T-0,448.97,2000500,2/6/17,3/8/17,2/6/17,275,treatment_SMS,T-0,No Experiment
2000500,77.75,,85.2,175 kWh,1036.41,7/6/17,7/7/17,,11.99,NA,NA,NA,NA,T-0,1211.35,2000500,6/7/17,7/7/17,6/7/17,275,treatment_SMS,T-0,No Experiment
2000500,74.24,,29.39,140 kWh,748.98,9/12/16,9/1/17,,4.34,-14.26,-9.22,-394.84,NA,T-0,438.63,2000500,12/9/16,1/9/17,12/9/16,275,treatment_SMS,T-0,No Experiment
2000500,73.93,,85.29,159 kWh,878.26,7/11/16,9/12/16,,5.49,-14.21,-9.19,-464.82,NA,T-0,554.75,2000500,11/7/16,12/9/16,11/7/16,275,treatment_SMS,T-0,No Experiment
2000500,79.03,5.31,86.6,163 kWh,967.09,7/10/17,7/11/17,,11.33,NA,NA,NA,NA,T-0,"1,149.36",2000500,10/7/17,11/7/17,10/7/17,275,treatment_SMS,T-0,Ongoing Experiment
2000500,78.71,6.16,86.25,163 kWh,963.14,6/9/17,7/10/17,,11.28,NA,NA,NA,NA,T-0,1145.54,2000500,9/6/17,10/7/17,9/6/17,275,treatment_SMS,T-0,Ongoing Experiment
2000500,74.52,,29.5,131 kWh,686.82,9/1/17,6/2/17,,4.05,-14.32,-9.26,-362.06,NA,T-0,409.25,2000500,1/9/17,2/6/17,1/9/17,275,treatment_SMS,T-0,No Experiment
2000500,77.42,,84.85,181 kWh,"1,056.86",8/5/17,7/6/17,,12.19,NA,NA,NA,NA,T-0,"1,231.32",2000500,5/8/17,6/7/17,5/8/17,275,treatment_SMS,T-0,No Experiment
2000500,79.98,,30.08,133 kWh,752.63,9/1/18,6/2/18,,4.4,-16.77,-8.82,-397.52,NA,T-0,443.98,2000500,1/9/18,2/6/18,1/9/18,275,treatment_SMS,T-0,Ongoing Experiment
2000500,77.42,,84.85,181 kWh,1056.86,8/5/17,7/6/17,,12.19,NA,NA,NA,NA,T-0,1231.32,2000500,5/8/17,6/7/17,5/8/17,275,treatment_SMS,T-0,No Experiment
2000500,78.39,5.73,85.9,189 kWh,1144.88,7/8/17,6/9/17,,13.09,NA,NA,NA,NA,T-0,1327.99,2000500,8/7/17,9/6/17,8/7/17,275,treatment_SMS,T-0,Ongoing Experiment
2000500,75.13,,29.75,145 kWh,793.98,8/3/17,22-04-2017,,4.57,-14.44,-9.33,-418.56,NA,T-0,461.1,2000500,3/8/17,NA,3/8/17,275,treatment_SMS,T-0,NA
2000500,74.83,,29.63,142 kWh,769.28,6/2/17,8/3/17,,4.45,-14.38,-9.3,-405.54,NA,T-0,448.97,2000500,2/6/17,3/8/17,2/6/17,275,treatment_SMS,T-0,No Experiment
2000500,75.13,,86.66,159 kWh,891.94,8/3/17,6/4/17,,10.54,NA,NA,NA,NA,T-0,"1,064.27",2000500,3/8/17,4/6/17,3/8/17,275,treatment_SMS,T-0,No Experiment
2000500,74.24,,29.39,140 kWh,748.98,9/12/16,9/1/17,,4.34,-14.26,-9.22,-394.84,NA,T-0,438.63,2000500,12/9/16,1/9/17,12/9/16,275,treatment_SMS,T-0,No Experiment
